validto (UTC),capacity (kW) aardgas,percentage aardgas,capacity (kW) afval,percentage afval,capacity (kW) biomassa,percentage biomassa,capacity (kW) electriciteitsmix,percentage electriciteitsmix,capacity (kW) kernenergie,percentage kernenergie,capacity (kW) overig,percentage overig,capacity (kW) steenkool,percentage steenkool,capacity (kW) wind,percentage wind,capacity (kW) wkk,percentage wkk,capacity (kW) zeewind,percentage zeewind,capacity (kW) zon,percentage zon
2024-10-13 01:00:00,764250,0,270750,0.34711548686028,165354,0.16535350680351,10795474,0.29546999931335,480000,0.98969101905823,221000,1,540646,1.0812925100327,3970542,0.61336350440979,1186683,0,3196249,0.76869851350784,0,0.0
2024-10-13 02:00:00,801750,0,272626,0.3495192527771,165002,0.16500249505043,11195144,0.30640551447868,480000,0.98969101905823,221000,1,539498,1.0789924860001,4464770,0.68970626592636,1192498,0,3058000,0.73544973134995,0,0.0
2024-10-13 03:00:00,853000,0,281626,0.3610574901104,165296,0.16529524326324,11777055,0.32232823967934,480000,0.98969101905823,221000,1,540454,1.0809124708176,4889470,0.75530827045441,1267709,0,3078500,0.74037998914719,0,0.0
2024-10-13 04:00:00,843250,0,282500,0.36217948794365,168047,0.16804699599743,12341666,0.33777776360512,480000,0.98969101905823,221000,1,549453,1.0989074707031,5471319,0.84518498182297,1191847,0,3134250,0.75378775596619,0,0.0
2024-10-13 05:00:00,907250,0,284250,0.36442351341248,175367,0.17536599934101,12541462,0.34324198961258,480000,0.98969101905823,221000,1,573383,1.1467649936676,5364883,0.82873827219009,1282079,0,3253250,0.78240752220154,0,0.0
2024-10-13 06:00:00,962250,0,281126,0.36041674017906,178937,0.17893825471401,13472846,0.3687284886837,480000,0.98969101905823,221000,1,585063,1.1701225042343,5376743,0.83056497573853,1401477,0,3986250,0.95869398117065,0,0.0
2024-10-13 07:00:00,1020000,0,276126,0.35400649905205,179875,0.1798750013113,13389993,0.36645674705505,480000,0.98969101905823,221000,1,588125,1.1762499809265,4956809,0.76569098234177,1541587,0,3932250,0.94570726156235,194221,0.0084732985123992
2024-10-13 08:00:00,1128500,0,274126,0.35144248604774,178527,0.17852799594402,14855180,0.4065515100956,480000,0.98969101905823,221000,1,583723,1.1674449443817,4902924,0.75736248493195,1616853,0,3593500,0.86423772573471,1876027,0.081844553351402
2024-10-13 09:00:00,1067500,0,276000,0.35384601354599,171794,0.17179450392723,17214497,0.4711149930954,480000,0.98969101905823,221000,1,561706,1.123409986496,4867635,0.75190651416779,1539952,0,3287500,0.79064476490021,4741410,0.20684799551964
2024-10-13 10:00:00,1056000,0,276000,0.35384601354599,131627,0.13162724673748,20118491,0.55058324337006,479750,0.98917549848557,221000,1,430373,0.8607457280159,5456822,0.84291326999664,1436375,0,2928250,0.70424497127533,7702294,0.33601349592209
